"";"ANIMAL_ID";"ppert";"Start";"value.start";"End";"value.end";"days_of_pert";"Min.Day";"Min.perc"
"166";83;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"167";84;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"168";84;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"169";85;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"170";85;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"171";86;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"172";86;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"173";87;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"174";87;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"175";88;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"176";88;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"177";89;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"178";89;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"179";90;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"180";90;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"181";91;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"182";91;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"183";92;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"184";92;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"185";93;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"186";93;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"187";94;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"188";94;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"189";95;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"190";95;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"191";96;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"192";96;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
